CellId,CellLabel,XPosPixel,YPosPixel,ZPosPixel,XPosMicron,YPosMicron,ZPosMicron,CellAreaMicron2,jagged1b,lfng,dla,ccnd1,notch1a,hey1,pcna,her4,id1,notch3,ascl1a,Feat_regions,Cyto12_MeanIntensity,Cyto12_StdIntensity,Cyto12_MedianIntensity,Cyto12_MeanNormalisedIntensity,Cyto12_StdNormalisedIntensity,Cyto12_MedianNormalisedIntensity,Cyto12_SumIntensity,Cyto12_SumNormalizedIntensity,Cyto13_MeanIntensity,Cyto13_StdIntensity,Cyto13_MedianIntensity,Cyto13_MeanNormalisedIntensity,Cyto13_StdNormalisedIntensity,Cyto13_MedianNormalisedIntensity,Cyto13_SumIntensity,Cyto13_SumNormalizedIntensity,CellAreaInMicron2,Gs,Mcm2
225,225,1399.648327,1954.912649,25,289.7272036,404.6669183,10,75.542787,5,4,1,6,3,8,5,19,4,10,0,1,922.2387975,777.6959328,658,inf,inf,inf,6503628,nan,307.8442995,411.2727225,212,49652.30637,66334.31008,34193.54839,2170918,350148064.5,75.542787,neg,neg
226,226,1391.336066,1937.5,25,288.0065656,401.0625,10,5.227578,1,0,0,0,0,0,1,2,0,1,0,1,822.8504098,599.5727339,617.5,inf,inf,inf,401551,inf,425.7766393,390.5065664,318,68673.65151,62984.93006,51290.32258,207779,33512741.94,5.227578,neg,neg
227,227,1446.886479,1314.169095,24,299.5055012,272.0330027,9.6,126.447399,9,4,5,3,7,15,2,31,14,23,3,1,3605.170281,2416.286548,2916,inf,inf,inf,42555430,inf,499.7054388,528.8679863,352,80597.65142,85301.28811,56774.19355,5898523,951374677.4,126.447399,high,neg
228,228,1400.411749,1290.643716,24,289.885232,267.1632492,9.6,156.82734,8,10,7,10,10,19,6,34,20,23,4,1,4283.752186,2525.606598,3879.5,inf,inf,inf,62714132,inf,515.572541,639.1732227,380,83156.86145,103092.4553,61290.32258,7547982,1217416452,156.82734,high,neg
229,229,1366.468055,1324.006461,23,282.8588873,274.0693374,9.2,59.688657,6,6,1,2,0,6,2,9,8,11,2,1,1061.76705,893.3685917,793,inf,inf,inf,5916166,nan,487.7480258,1193.549637,296,78669.03643,192508.006,47741.93548,2717732,438343871,59.688657,low,neg
230,230,1348.97931,1331.97931,23,279.2387172,275.7197172,9.2,12.42621,1,2,22,15,11,2,2,14,11,3,8,1,1293.322414,909.4446778,1052.5,inf,inf,inf,1500254,nan,1533.75431,2275.125208,959.5,247379.7275,366955.6787,154758.0645,1779155,286960483.9,12.42621,neg,neg
231,231,1357.847458,1293.849576,23,281.0744237,267.8268623,9.2,20.224728,3,1,0,4,10,2,0,3,2,4,4,1,1287.336335,1150.947932,966,inf,inf,inf,2430491,nan,2967.379237,2824.797705,2011.5,478609.5544,455612.5331,324435.4839,5602412,903614838.7,20.224728,neg,pos
232,232,1347.515924,1280.235669,23,278.9357962,265.0087834,9.2,6.727293,0,1,9,0,27,0,36,0,0,1,10,1,388.6847134,245.736251,349,inf,inf,inf,244094,nan,5445.348726,2229.393684,5276.5,878282.0526,359579.6265,851048.3871,3419679,551561129,6.727293,neg,pos
233,233,1317.391545,1294.21375,23,272.7000498,267.9022461,9.2,108.450819,12,12,1,12,2,18,2,18,11,34,19,1,1535.025879,1271.031988,1123,inf,inf,inf,15540602,nan,1367.81213,2226.236422,533,220614.8596,359070.3906,85967.74194,13847730,2233504839,108.450819,high,neg
234,234,1322.547323,1338.910959,23,273.7672958,277.1545685,9.2,68.815494,4,6,0,0,6,12,5,20,14,26,2,1,3795.412671,1774.438448,3624,inf,inf,inf,24381731,inf,674.8561644,529.4920686,562,108847.7684,85401.94655,90645.16129,4335276,699238064.5,68.815494,high,neg
235,235,1289.737057,1325.426431,23,266.9755708,274.3632711,9.2,31.451166,0,4,10,2,4,3,5,12,3,14,3,1,1683.768052,1532.718951,1067,inf,inf,inf,4943543,nan,834.2145777,2491.828763,358,134550.7383,401907.8649,57741.93548,2449254,395040967.7,31.451166,low,neg
236,236,1266.838939,1311.441785,23,262.2356604,271.4684495,9.2,66.244554,5,14,4,8,6,16,2,46,18,37,3,1,3148.677878,1577.251311,3047,inf,inf,inf,19471424,inf,713.1253234,565.7757645,586,115020.2135,91254.15556,94516.12903,4409967,711285000,66.244554,high,neg
237,237,1254.757166,1281.979989,23,259.7347334,265.3698578,9.2,79.227801,9,8,1,5,6,7,3,34,7,24,6,1,2130.157112,1694.863784,1473,inf,inf,inf,15754642,inf,862.0559762,1788.625085,344,139041.2865,288487.917,55483.87097,6375766,1028349355,79.227801,high,neg
238,238,1295.96988,1267.114458,23,268.2657651,262.2926928,9.2,7.112934,1,1,12,16,2,0,0,1,2,1,0,1,604.9427711,582.5852565,427.5,inf,inf,inf,401682,nan,2287.516566,1486.209098,1980,368954.2849,239711.1448,319354.8387,1518911,244985645.2,7.112934,neg,pos
239,239,1276.104235,1249.2481,23,264.1535765,258.5943567,9.2,78.927858,5,7,5,6,12,6,3,10,6,11,9,1,1542.483713,1377.681482,1041,inf,inf,inf,11365020,nan,579.2785016,1425.807126,325,93432.01639,229968.8913,52419.35484,4268124,688407096.8,78.927858,low,neg
240,240,1350.64471,1244.934359,23,279.5834549,257.7014122,9.2,186.693093,14,15,3,31,3,15,6,27,18,21,7,1,2995.708458,2190.212461,2239,inf,inf,inf,52209207,inf,617.5613381,1057.892024,367,99606.66743,170627.7457,59193.54839,10762859,1735945000,186.693093,high,neg
241,241,1293.777052,1205.329168,23,267.8118498,249.5031377,9.2,150.871329,8,5,2,6,9,10,9,33,38,35,11,1,3937.745669,2157.177885,3633,inf,inf,inf,55459210,inf,625.0293241,528.1562597,495,100811.1813,85186.49351,79838.70968,8802913,1419824677,150.871329,high,neg
242,242,1231.801352,1182.012257,21,254.98288,244.6765372,8.4,101.380734,4,21,9,8,3,19,6,32,21,22,4,1,2308.63451,1812.023799,1630,inf,inf,inf,21848917,nan,599.1207735,734.8034134,408,96632.38282,118516.6796,65806.45161,5670079,914528871,101.380734,high,neg
243,243,1245.203112,1224.273546,23,257.7570442,253.4246241,9.2,52.318629,1,3,1,1,4,7,3,15,13,17,2,1,2659.894144,1728.209044,2248.5,inf,inf,inf,12990923,inf,565.5014333,485.5784094,453,91209.90859,78319.09829,73064.51613,2761909,445469193.5,52.318629,high,neg
244,244,1424.446743,1370.718732,24,294.8604757,283.7387775,9.6,221.657877,16,14,10,40,17,16,9,39,13,29,14,1,4477.727576,2567.639019,4142.5,inf,inf,inf,92653139,inf,545.476561,508.3471296,415,87980.09048,81991.47251,66935.48387,11287001,1820484032,221.657877,high,neg
245,245,1358.491469,1376.250152,23,281.207734,284.8837815,9.2,140.630418,12,9,4,17,10,16,17,24,26,20,13,1,2965.740021,2125.18752,2309.5,inf,inf,inf,38934235,nan,442.0115783,544.9497872,309,71292.19005,87895.12697,49838.70968,5802728,935923871,140.630418,high,neg
246,246,1390.419779,1431.756797,24,287.8168942,296.373657,9.6,143.415603,10,11,10,22,17,7,11,48,13,28,7,1,4265.8232,2329.07954,4150.5,inf,inf,inf,57110841,inf,823.2965342,714.5873278,654,132789.7636,115256.0206,105483.871,11022294,1777789355,143.415603,high,neg
247,247,1376.563152,1483.046779,24,284.9485725,306.9906833,9.6,119.077371,6,12,10,21,13,15,3,48,20,41,7,1,3322.105254,2031.495779,2954.5,inf,inf,inf,36928522,inf,719.6630083,1012.860499,471,116074.6788,163364.5966,75967.74194,7999774,1290286129,119.077371,high,neg
248,248,1332.399067,1477.144691,24,275.8066068,305.768951,9.6,36.721593,2,3,3,13,4,6,2,15,12,13,0,1,1314.578763,1093.344238,986,inf,inf,inf,4506376,nan,1485.265461,4218.374036,464.5,239558.9453,680382.909,74919.35484,5091490,821208064.5,36.721593,low,neg
249,249,1313.286713,1478.65035,24,271.8503497,306.0806224,9.6,6.127407,0,1,0,4,14,1,23,0,1,2,0,1,704.479021,499.9139799,581,inf,inf,inf,402962,nan,4648.706294,6083.864196,2620.5,749791.3377,981268.4187,422661.2903,2659060,428880645.2,6.127407,neg,pos
250,250,1309.4875,1465.825,24,271.0639125,303.425775,9.6,6.85584,0,2,22,2,0,1,0,35,3,4,41,1,679.4421875,473.9878721,563,inf,inf,inf,434843,nan,3150.489063,4872.974069,1396,508143.3972,785963.5596,225161.2903,2016313,325211774.2,6.85584,neg,pos
251,251,1324.813665,1445.76302,24,274.2364286,299.2729451,9.6,89.682957,6,8,5,3,4,11,3,20,26,27,0,1,4372.45688,1783.634142,4255,inf,inf,inf,36606209,inf,883.634257,1599.618363,648.5,142521.6544,258002.9619,104596.7742,7397786,1193191290,89.682957,high,neg
252,252,1289.469216,1473.268957,24,266.9201277,304.966674,9.6,66.116007,2,7,3,4,3,10,2,17,13,20,3,1,1031.342839,1120.563014,591,inf,inf,inf,6365448,nan,708.543908,670.7119549,561.5,114281.2755,108179.3476,90564.51613,4373133,705344032.3,66.116007,low,neg
253,253,1340.872955,1514.550048,24,277.5607016,313.51186,9.6,89.040222,8,15,8,15,15,10,6,46,23,37,6,1,2457.777671,1611.096082,1980.5,inf,inf,inf,20429048,inf,951.8434793,1707.149981,498,153523.1418,275346.7711,80322.58065,7911723,1276084355,89.040222,high,neg
254,254,1291.628535,1508.58419,24,267.3671067,312.2769274,9.6,66.673044,4,4,1,6,4,6,5,20,13,16,2,1,2592.104113,1784.372048,2031.5,inf,inf,inf,16133256,inf,624.6213046,1473.229824,253,100745.3717,237617.7136,40806.45161,3887643,627039193.5,66.673044,high,neg
255,255,1279.123409,1541.094871,24,264.7785457,319.0066383,9.6,111.107457,9,5,9,7,9,6,9,29,13,15,4,1,3087.492865,2371.209435,2259,inf,inf,inf,32023476,nan,382.4054184,400.1419903,270,61678.2933,64539.0307,43548.3871,3966309,639727258.1,111.107457,high,neg
256,256,1237.828714,1556.885961,24,256.2305438,322.2753939,9.6,94.310649,10,4,3,6,9,12,8,21,14,13,6,1,2198.852453,1672.391622,1604,inf,inf,inf,19358697,inf,394.3447297,708.4870382,272,63603.98866,114272.1029,43870.96774,3471811,559969516.1,94.310649,high,neg
257,257,1281.760724,1596.555965,24,265.3244698,330.4870848,9.6,127.861416,6,4,2,7,4,16,2,35,33,22,3,1,3629.808311,1803.537631,3372,inf,inf,inf,43325392,inf,614.6445208,1029.054101,403,99136.21303,165976.468,65000,7336397,1183289839,127.861416,high,neg
258,258,1222.207584,1613.792416,25,252.9969699,334.0550301,10,176.280786,8,6,2,8,4,17,10,50,15,23,5,1,4401.521451,2280.974151,4161,inf,inf,inf,72431437,inf,458.5623481,592.091752,318,73961.66905,95498.66968,51290.32258,7546102,1217113226,176.280786,high,neg
259,259,1241.662025,1672.861392,25,257.0240392,346.2823082,10,67.70142,6,2,0,1,2,9,1,10,9,11,1,1,2106.538291,1537.804095,1721.5,inf,inf,inf,13313322,nan,355.539557,743.3083715,201,57345.08983,119888.447,32419.35484,2247010,362420967.7,67.70142,low,neg
260,260,1240.046905,1721.203442,25,256.6897094,356.2891124,10,154.384947,7,6,3,12,4,17,4,37,11,24,2,1,4124.164308,2142.681063,3953.5,inf,inf,inf,59437456,inf,397.1332917,404.6244652,288,64053.75673,65262.01052,46451.6129,5723485,923142741.9,154.384947,high,neg
261,261,1717.022715,1470.73391,24,355.423702,304.4419194,9.6,79.227801,7,3,3,4,8,8,1,18,6,13,10,1,1297.170498,1145.313388,903.5,inf,inf,inf,9593873,nan,531.5908599,809.7518081,356,85740.46128,130605.1303,57419.35484,3931646,634136451.6,79.227801,low,neg
262,262,1643.073908,1426.213139,24,340.116299,295.2261198,9.6,114.792471,2,6,0,10,4,13,2,30,12,23,2,1,4270.292926,2634.216482,3878.5,inf,inf,inf,45760459,inf,561.831467,525.7208899,420,90617.97854,84793.69192,67741.93548,6020586,971062258.1,114.792471,high,neg
